,Created_at,Username,Tweet
81,2022-09-20 17:29:33+00:00,PeterDust22,"My New Zealand playing 11 for
T20 WC 2022 in Australia

Finn Allen
Devon Conway (wk)
Kane Williamson (C)
Glenn Philips
Daryl Mitchell
Jimmy Neesham
Michael Bracewell
Mitchell Santner
Ish Sodhi
Tim Southee
Trent Boult

#CricketTwitter https://t.co/JqSYjEkgZq"
82,2022-09-20 17:29:33+00:00,DigestEcon,Rationalizing the Discussion on Migration and Policy https://t.co/cSgKYyWPQy
83,2022-09-20 17:29:33+00:00,gemgemmzzzz1,"RT @_HenryBolton: How many times have these two total hypocrites gone on witch hunts, attacked other people’s morals and said politicians a…"
84,2022-09-20 17:29:33+00:00,southrockbuoy,Air Press:1025hPa at 20/09/2022 18:26:00
85,2022-09-20 17:29:33+00:00,metav3rse_,RT @wholesomeweb3: Crypto Exchange Huobi Global Enables Cryptocurrency Purchases With Fiat in Latin America - CoinDesk https://t.co/f9Pcbmw…
86,2022-09-20 17:29:33+00:00,axarob_,RT @Lakers: Like they never stopped: Showtime ‘80s » 2022 https://t.co/tF9CHpyfDp
87,2022-09-20 17:29:33+00:00,doyoungista,"RT @ygent_official: #TREASURE ‘THE SECOND STEP : CHAPTER TWO’ CONCEPT POSTER &lt;YOON JAE HYUK&gt;

2nd MINI ALBUM ‘THE SECOND STEP : CHAPTER TWO…"
88,2022-09-20 17:29:33+00:00,jonathanchait,"With Elton John White House concert, Biden keeps living Trump's dream presidency https://t.co/bsJ91HJP9j"
89,2022-09-20 17:29:33+00:00,2605NI,"RT @Manchester_FA: Tonight, @AbbeyHeyFC take on @StalyCelticFC in the preliminary round of the Frank Hannah Manchester FA Premier Cup 🤝

Ki…"
90,2022-09-20 17:29:33+00:00,UsdawUnion,#Usdaw joins a TUC co-ordinated legal challenge against the Government’s “strike-breaking” agency worker regulations https://t.co/CCLE17pBBM
91,2022-09-20 17:29:33+00:00,wedik14,RT @tigray116: UN experts on Monday said that there are reasonable grounds to believe that “war crimes and crimes against humanity” have be…
92,2022-09-20 17:29:33+00:00,gerdesilets,the cutest poem in the world https://t.co/3OM43LkEaF via @unbolt
93,2022-09-20 17:29:33+00:00,MattiaRaimo83,"RT @CrazyItalianPol: Vittorio Sgarbi having fun at bumper cars. Sept 19, 2022. https://t.co/1c8PCIqPG6"
94,2022-09-20 17:29:33+00:00,BallybunionBuoy,"Water Temp:16.2 °C, Wave Height:1m, Wave Dir:269 °(W), Wave Period:11s, Avg Wind:9kts, Gust:13kts at 20/09/2022 18:24:00"
95,2022-09-20 17:29:33+00:00,HollisterFLA,RT @RepMarkGreen: This is exactly what fentanyl should be classified as—a WMD. Enough is enough. How many more families have to suffer? #St…
96,2022-09-20 17:29:33+00:00,IndiaToday,"#AmanatullahKhan was arrested on Friday in connection with irregularities in Delhi Waqf Board recruitment after day-long raids at his and his aides’ homes.

By @arvindojha 

https://t.co/NjswvLuXgv"
97,2022-09-20 17:29:33+00:00,travisparker551,"RT @SenatorHousakos: Poor judgment from Justin Trudeau has become a pattern. Black facing, thank you for your donation, ethnocentric behavi…"
98,2022-09-20 17:29:33+00:00,Randy75314773,"RT @WayneDupreeShow: LOOK 👀 It’s remarkable, every thing Biden’s done has backfired
 https://t.co/5BU5PlwPFw"
99,2022-09-20 17:29:33+00:00,nicolepoptart1,RT @TheRebelWalk: The Ole Miss defense is excited to face Tulsa’s No.-1 ranked passing offense this Saturday in what will be the first real…
100,2022-09-20 17:29:33+00:00,KipOliver2,"RT @TamieUSCongress: GMAB! 
You voted NO on all of these!
HR 5376 - Inflation Reduction Act of 2022
HR 4346 - Supreme Court Security Fundin…"
101,2022-09-20 17:29:33+00:00,RileySeymore,"RT @BillKristol: “This freedom…only survives if we recognize threats when they arise. And today, we are facing such a threat. It's a threat…"
102,2022-09-20 17:29:33+00:00,juliaweatherby1,RT @GdnPolitics: Kwasi Kwarteng urged to allow release of OBR forecasts with mini-budget https://t.co/EowGcH07KG
